iter	Logloss
0	0.4521476081
1	0.3017874546
2	0.1994908433
3	0.1334121159
4	0.09084095449
5	0.06311050515
6	0.04650982577
7	0.0345830663
8	0.02654282868
9	0.02055117756
10	0.01707111583
11	0.01443945372
12	0.01168068078
13	0.009936057687
14	0.008581510908
15	0.00768183174
16	0.006573118873
17	0.005844264038
18	0.005300773828
19	0.004905137214
20	0.004505923482
21	0.004016366027
22	0.003733535118
23	0.003461465802
24	0.003232740432
25	0.003009324345
26	0.002836608023
27	0.002716427061
28	0.002621485351
29	0.002486206625
30	0.002391266115
31	0.002276743604
32	0.002155975415
33	0.002027022521
34	0.001930538589
35	0.001811689627
36	0.001734830533
37	0.001652149201
38	0.001574573171
39	0.001536171701
40	0.001473589644
41	0.001410781287
42	0.001352954763
43	0.001319678632
44	0.001298920737
45	0.001251616908
46	0.001217810425
47	0.001175403835
48	0.001145503001
49	0.001118992583
50	0.001090513742
51	0.001071984647
52	0.00105257939
53	0.001038038737
54	0.00101296111
55	0.0009891164921
56	0.0009722894439
57	0.0009501816702
58	0.000940778955
59	0.0009273548011
60	0.0009145058155
61	0.0008904062808
62	0.0008792715812
63	0.0008601400801
64	0.0008492010229
65	0.0008330129173
66	0.0008161700906
67	0.0008059107123
68	0.0007921901851
69	0.0007827945492
70	0.0007686474603
71	0.0007622334366
72	0.0007527326902
73	0.0007443781408
74	0.000730463291
75	0.0007240753649
76	0.0007102539867
77	0.0006987053243
78	0.0006921552928
79	0.0006779795264
80	0.0006702632597
81	0.0006618365968
82	0.0006512374091
83	0.0006380294758
84	0.0006284784539
85	0.0006175385568
86	0.0006034640613
87	0.0005978842026
88	0.0005905291035
89	0.0005810781526
90	0.0005712576949
91	0.0005668420916
92	0.0005604814031
93	0.0005522722207
94	0.0005457094703
95	0.0005403890883
96	0.0005326960995
97	0.0005252192113
98	0.0005199366259
99	0.0005149315756
